site,species,indiv.no,stem.weight,
mp,symalb,4,1331.7,
mp,symalb,5,1128.8,
mp,symalb,7,1562.3,
mp,symalb,8,1418.8,
mp,symalb,9,1414.5,
mp,symalb,10,1269.8,
mp,symalb,6,820.6,
mp,sorsco,4,1632.6,
mp,sorsco,8,1470.4,
mp,sorsco,10,1591.3,
mp,sorsco,11_A,1527.6,
mp,loninv,4,1052.9,
mp,loninv,5,990.6,
mp,loninv,9,921.4,
mp,loninv,10,856.4,
mp,rosaci,1,1803.5,
mp,rosaci,2,1833.7,
mp,rosgym,8,1189.2,
mp,rosgym,9,913.8,
mp,alninc,1,996,
mp,alninc,2,1373.3,
mp,alninc,3,1452.7,
mp,alninc,4,1556.9,
mp,alninc,5,1250.4,
mp,alninc,10,1522.9,
mp,alnrub,5,1438.7,
mp,alnrub,6,1746.5,
mp,alnrub,7,1481,
mp,alnvir,1,1741.8,
mp,alnvir,2,1704.8,
mp,alnvir,3,1597.1,
mp,alnvir,6,1478.3,
mp,samrac,10,453.7,
mp,rubpar,7,735.4,
mp,amealn,11,1528.6,
mp,amealn,12,1586.1,
mp,menfer,10,1130.9,
mp,acegla,7,1601.4,
mp,acegla,8,1308.2,
mp,acegla,9,1466.7,
mp,acegla,10,1416.2,
mp,acegla,11,1591.7,
mp,spibet,4,445.9,
mp,spibet,5,252.3,
mp,spibet,6,279.9,
mp,spibet,7,289.2,
mp,spibet,8,424.2,
mp,spibet,9,463.2,
mp,spibet,10,352.7,
mp,spidou,1,1548.7,
mp,spidou,2,656.6,
mp,spidou,3,1550.1,
mp,spibet,1,344.6,
mp,spibet,3,338.9,
mp,riblac,8,1140.7,
mp,acegla,1,1560.8,
mp,acegla,2,1350.7,
mp,acegla,10,1627.4,
mp,acegla,11,1378.1,
mp,menfer,1,575.8,
mp,menfer,2,1269.6,
mp,menfer,4,1014.5,
mp,menfer,5,1395.6,
mp,menfer,6,1171,
mp,menfer,7,1469.6,
mp,menfer,8,816.8,
mp,menfer,9,699.9,
mp,menfer,10,485.1,
mp,menfer,12,1419.5,
mp,sorsco,1,1249.4,
mp,sorsco,3,1095,
mp,sorsco,12,1924.7,
mp,sorsco,13,1238.4,
mp,rosgym,1,600.4,
mp,rosgym,3,799.2,
mp,rosgym,10,448.4,
af,rosgym,5,905.7,
mp,rubspe,5,319.3,
mp,rubspe,6,422.4,
mp,rubspe,12,1010.5,
mp,rubspe,13,785.8,
mp,rubspe,14,904.4,
mp,shecan,9,1774.7,
mp,samrac,1,1440.6,
mp,samrac,5,574.3,
mp,samrac,7,809.4,
mp,samrac,9,665.3,
mp,loninv,6,1495.1,
mp,loninv,7,1261.3,
mp,loninv,8,1190.9,
sm,popbal,3,1949.3,
sm,popbal,8,2067.1,
sm,popbal,9,1281.4,
sm,loninv,8,1453.4,
sm,loninv,9,603.1,
sm,loninv,11,528.8,
sm,loninv,2_2,450.2,
sm,loninv,6,1008.2,
sm,loninv,7,924.7,
sm,popbal,1,1634.6,
sm,popbal,10,1276.1,
mp,rosgym,2,1603,
mp,alnvir,5,1449.6,
mp,alnvir,4,1726.1,
mp,alnvir,7,2355.8,
mp,alnvir,8,1432.9,
mp,alnvir,9,1586.5,
mp,shecan,7,1720,
mp,shecan,10,1897.4,
mp,riblac,2,1512.9,
mp,riblac,3,1445.4,
mp,riblac,4,1367,
mp,riblac,6,997.1,
mp,riblac,7,1107.5,
mp,loninv,2,866.4,
mp,loninv,3,785.9,
mp,loninv,8,1006.6,
mp,amealn,6,1972.05,
mp,amealn,10,1551.27,
mp,poptre,5,2050.24,
mp,poptre,6,1568.52,
mp,poptre,6_2nd,1713.61,
mp,poptre,7,1883.81,
mp,poptre,8,1986.39,
mp,poptre,9,1813.82,
mp,poptre,10,1960.5,
mp,poptre,11,1933.8,
mp,poptre,12,1702.7,
af,poptre,3,1780,
af,poptre,4,1695.8,
af,popbal,4,1331.5,
af,amealn,6,1403,
af,corsto,6,1486.5,
af,shecan,7,1635.9,
af,shecan,8,1777.7,
af,alnvir,1,1411,
af,alnvir,2,1483,
af,alnvir,4,1440.8,
af,alnvir,5,1262.5,
af,alnvir,3,1220.4,
af,alninc,5,1079.7,
af,acegla,12,1497,
af,amealn,7,2130,
af,corsto,10,1129.2,
af,betpap,2,2764.6,
af,betpap,3,1912.9,
af,betpap,1,1729.2,
af,betpap,9,2356.7,
af,vibedu,12,1003.3,
af,poptre,7,1831.2,
af,poptre,8,1623.7,
af,samrac,1,1764,
af,samrac,6,888,
af,samrac,9,1349.5,
af,samrac,10,1451,
af,spidou,13,712.8,
af,spipyr,11,897.7,
af,spipyr,12,1018.3,
af,spipyr,14,1077.9,
af,spipyr,2,1414.9,
af,sorsco,2,2005,
af,sorsco,3,1171.1,
af,sorsco,13,1438.8,
af,shecan,1,1524.2,
af,popbal,2,1340.8,
af,shecan,4,1533,
af,shecan,5,2225.7,
af,symalb,4,2134.4,
af,symalb,11,1949.6,
af,rubpar,3,1067.7,
af,rubpar,5,515.2,
af,rubpar,6,615.2,
af,rubpar,7,609.1,
af,rubpar,16,814.3,
af,rosaci,2,1482.9,
af,rosaci,3,1838.3,
af,rubida,11,654.1,
af,rubida,12,912.8,
af,rubida,13,758.5,
af,vacmem,6,676.4,
af,vacmem,7,1314.2,
af,vacmem,8,826.2,
af,vacmem,9,1024.6,
af,vacmem,10,1090.9,
af,riblac,12,846.6,
af,riblac,7,1693.4,
af,riblac,8,832.4,
af,riblac,10,962.2,
af,riblac,11,1005.4,
af,symalb,8,1292.9,
af,sorsco,7,2025.3,
af,vibedu,4,883,
af,popbal,9,1760.7,
af,rosgym,4,455.9,
af,rosgym,11,763.9,
af,loninv,6,1607.9,
af,loninv,11,1144.2,
af,rubpar,10,706.3,
af,rubpar,11,1349.8,
af,rubpar,13,1131.8,
af,rubpar,14,886.2,
af,rubpar,15,792,
af,symalb,5,1360.3,
af,symalb,12,852.6,
af,loninv,9,1095.3,
af,symalb,6,990.5,
af,vacmem,3,1106.7,
af,samrac,4,1087.9,
af,samrac,5,759,
af,samrac,7,813.2,
af,samrac,12,1108.8,
af,samrac,13,891.2,
af,rubida,6,624.9,
af,rubida,14,633.5,
af,rubida,15,818.5,
af,rubida,16,737.1,
af,rubida,17,611.4,
af,poptre,11,1617.6,
af,popbal,1,1618.5,
