collected.by,site,species,indiv.no,leaf.no,area
PA,sm,alninc,19,1,53.584
PA,sm,alninc,19,2,34.255
PA,sm,alninc,19,3,53.301
PA,sm,alninc,19,4,29.607
PA,sm,alninc,19,5,36.934
PA,sm,alninc,20,1,63.535
PA,sm,alninc,20,2,41.691
PA,sm,alninc,20,3,41.412
PA,sm,alninc,20,4,47.192
PA,sm,alninc,20,5,56.251
PA,sm,alnvir,17,1,26.09
PA,sm,alnvir,17,2,37.966
PA,sm,alnvir,17,3,26.457
PA,sm,alnvir,17,4,28.876
PA,sm,alnvir,17,5,40.758
PA,sm,alnvir,18,1,40.027
PA,sm,alnvir,18,2,32.502
PA,sm,alnvir,18,3,25.205
PA,sm,alnvir,18,4,21.138
PA,sm,alnvir,18,5,25.577
PA,sm,popbal,3,1,44.105
PA,sm,popbal,3,2,54.848
PA,sm,popbal,3,3,42.65
PA,sm,popbal,3,4,53.694
PA,sm,popbal,3,5,60.252
PA,sm,popbal,5,1,41.717
PA,sm,popbal,5,2,43.133
PA,sm,popbal,5,3,42.323
PA,sm,popbal,5,4,35.218
PA,sm,popbal,5,5,66.451
PA,sm,popbal,12,1,63.841
PA,sm,popbal,12,2,43.479
PA,sm,popbal,12,3,70.601
PA,sm,popbal,12,4,53.703
PA,sm,popbal,12,5,62.844
PA,sm,poptre,2,1,22.569
PA,sm,poptre,2,2,15.886
PA,sm,poptre,2,3,10.769
PA,sm,poptre,2,4,17.297
PA,sm,poptre,2,5,22.025
PA,sm,poptre,3,1,16.759
PA,sm,poptre,3,2,15.651
PA,sm,poptre,3,3,17.338
PA,sm,poptre,3,4,15.138
PA,sm,poptre,3,5,10.281
PA,sm,poptre,4,1,14.55
PA,sm,poptre,4,2,18.947
PA,sm,poptre,4,3,11.589
PA,sm,poptre,4,4,12.842
PA,sm,poptre,4,5,16.835
PA,sm,poptre,5,1,16.469
PA,sm,poptre,5,2,14.539
PA,sm,poptre,5,3,17.989
PA,sm,poptre,5,4,9.612
PA,sm,poptre,5,5,11.322
PA,sm,poptre,18,1,11.063
PA,sm,poptre,18,2,8.067
PA,sm,poptre,18,3,11.382
PA,sm,poptre,18,4,9.38
PA,sm,poptre,18,5,15.315
PA,sm,poptre,19,1,12.008
PA,sm,poptre,19,2,12.997
PA,sm,poptre,19,3,9.28
PA,sm,poptre,19,4,11.33
PA,sm,poptre,19,5,11.116
PA,sm,shecan,5,1,12.253
PA,sm,shecan,5,2,8.281
PA,sm,shecan,5,3,8.195
PA,sm,shecan,5,4,6.372
PA,sm,shecan,5,5,10.787
PA,sm,shecan,16,1,9.511
PA,sm,shecan,16,2,9.98
PA,sm,shecan,16,3,8.827
PA,sm,shecan,16,4,8.822
PA,sm,shecan,16,5,9.747
PA,sm,vibedu,19,1,30.225
PA,sm,vibedu,19,2,36.78
PA,sm,vibedu,19,3,62.7
PA,sm,vibedu,19,4,51.058
PA,sm,vibedu,19,5,57.01
PA,sm,rosaci,20,1,68.567
PA,sm,rosaci,20,2,44.892
PA,sm,rosaci,20,3,48.651
PA,sm,rosaci,20,4,56.867
PA,sm,rosaci,20,5,57.445
PA,af,betpap,5,1,29.233
PA,af,betpap,5,2,52.675
PA,af,betpap,5,3,34.413
PA,af,betpap,5,4,42.789
PA,af,betpap,5,5,47.961
PA,af,alninc,20,1,26.052
PA,af,alninc,20,2,42.513
PA,af,alninc,20,3,26.134
PA,af,alninc,20,4,45.103
PA,af,alninc,20,5,38.804
PA,af,ainvir,20,1,57.236
PA,af,ainvir,20,2,48.203
PA,af,ainvir,20,3,29.552
PA,af,ainvir,20,4,35.566
PA,af,ainvir,20,5,39.13
PA,af,betpap,3,1,45.336
PA,af,betpap,3,2,31.013
PA,af,betpap,3,3,45.305
PA,af,betpap,3,4,34.24
PA,af,betpap,3,5,37.047
PA,af,betpap,4,1,32.312
PA,af,betpap,4,2,32.701
PA,af,betpap,4,3,24.517
PA,af,betpap,4,4,25.183
PA,af,betpap,4,5,25.455
PA,af,betpap,5,1,29.233
PA,af,betpap,5,2,52.675
PA,af,betpap,5,3,34.413
PA,af,betpap,5,4,42.789
PA,af,betpap,5,5,47.961
PA,af,betpap,6,1,31.67
PA,af,betpap,6,2,29.89
PA,af,betpap,6,3,22.521
PA,af,betpap,6,4,23.531
PA,af,betpap,6,5,28.439
PA,af,loninv,1,1,39.683
PA,af,loninv,1,2,46.133
PA,af,loninv,1,3,39.52
PA,af,loninv,1,4,48.329
PA,af,loninv,1,5,48.68
PA,af,popbal,2,1,29.089
PA,af,popbal,2,2,27.968
PA,af,popbal,2,3,42.773
PA,af,popbal,2,4,36.675
PA,af,popbal,2,5,31.499
PA,af,spibet,1,1,9.091
PA,af,spibet,1,2,5.762
PA,af,spibet,1,3,5.102
PA,af,spibet,1,4,4.709
PA,af,spibet,1,5,6.967
PA,af,spidou,1,1,4.533
PA,af,spidou,1,2,4.325
PA,af,spidou,1,3,4.314
PA,af,spidou,1,4,7.249
PA,af,spidou,1,5,6.748
PA,af,spidou,20,1,6.008
PA,af,spidou,20,2,9.882
PA,af,spidou,20,3,9.902
PA,af,spidou,20,4,6.082
PA,af,spidou,20,5,7.52
PA,af,spipyr,1,1,7.249
PA,af,spipyr,1,2,8.068
PA,af,spipyr,1,3,4.359
PA,af,spipyr,1,4,5.786
PA,af,spipyr,1,5,6.856
PA,af,spipyr,19,1,5.006
PA,af,spipyr,19,2,7.412
PA,af,spipyr,19,3,5.525
PA,af,spipyr,19,4,5.415
PA,af,spipyr,19,5,6.135
PA,af,symalb,1,1,10.216
PA,af,symalb,1,2,4.642
PA,af,symalb,1,3,3.579
PA,af,symalb,1,4,5.094
PA,af,symalb,1,5,6.929
PA,af,symalb,2,1,11.97
PA,af,symalb,2,2,9.08
PA,af,symalb,2,3,14.806
PA,af,symalb,2,4,10.882
PA,af,symalb,2,5,9.739
PA,af,vacmem,20,1,8.395
PA,af,vacmem,20,2,5.611
PA,af,vacmem,20,3,10.372
PA,af,vacmem,20,4,5.716
PA,af,vacmem,20,5,5.191
PA,af,vibedu,1,1,27.325
PA,af,vibedu,1,2,54.068
PA,af,vibedu,1,3,46.656
PA,af,vibedu,1,4,54.124
PA,af,vibedu,1,5,24.171
PA,af,riblac,20,1,14.398
PA,af,riblac,20,2,10.822
PA,af,riblac,20,3,11.488
PA,af,riblac,20,4,12.348
PA,af,riblac,20,5,12.381
PA,af,rosaci,1,1,52.942
PA,af,rosaci,1,2,36.544
PA,af,rosaci,1,3,28.8
PA,af,rosaci,1,4,35.454
PA,af,rosaci,1,5,30.7
PA,af,riblac,1,1,11.845
PA,af,riblac,1,2,20.163
PA,af,riblac,1,3,16.049
PA,af,riblac,1,4,12.544
PA,af,riblac,1,5,15.534
PA,af,vibedu,3,1,53.915
PA,af,vibedu,3,2,29.544
PA,af,vibedu,3,3,28.571
PA,af,vibedu,3,4,39.635
PA,af,vibedu,3,5,52.256
PA,af,acegla,7,1,61.073
PA,af,acegla,7,2,57.688
PA,af,acegla,7,3,76.011
PA,af,acegla,7,4,72.851
PA,af,acegla,7,5,88.461
PA,af,acegla,8,1,110.368
PA,af,acegla,8,2,47.865
PA,af,acegla,8,3,76.718
PA,af,acegla,8,4,95.996
PA,af,acegla,8,5,70.326
PA,af,acegla,10,1,52.74
PA,af,acegla,10,2,38.14
PA,af,acegla,10,3,48.65
PA,af,acegla,10,4,47.212
PA,af,acegla,10,5,61.694
PA,af,loninv,8,1,15.337
PA,af,loninv,8,2,19.289
PA,af,loninv,8,3,11.989
PA,af,loninv,8,4,18.057
PA,af,loninv,8,5,35.958
PA,af,poptre,11,1,12.851
PA,af,poptre,11,2,13.835
PA,af,poptre,11,3,11.67
PA,af,poptre,11,4,15.263
PA,af,poptre,11,5,7.439
PA,af,spibet,4,1,9.241
PA,af,spibet,4,2,10.894
PA,af,spibet,4,3,10.914
PA,af,spibet,4,4,11.379
PA,af,spibet,4,5,6.303
PA,af,spibet,13,1,7.56
PA,af,spibet,13,2,9.662
PA,af,spibet,13,3,7.645
PA,af,spibet,13,4,7.946
PA,af,spibet,13,5,8.944
PA,af,spibet,14,1,15.738
PA,af,spibet,14,2,16.097
PA,af,spibet,14,3,10.002
PA,af,spibet,14,4,16.717
PA,af,spibet,14,5,11.461
PA,af,spidou,19,1,6.958
PA,af,spidou,19,2,9.847
PA,af,spidou,19,3,3.776
PA,af,spidou,19,4,4.187
PA,af,spidou,19,5,8.167
PA,af,spipyr,2,1,9.102
PA,af,spipyr,2,2,3.847
PA,af,spipyr,2,3,7.758
PA,af,spipyr,2,4,7.422
PA,af,spipyr,2,5,7.471
PA,af,spipyr,16,1,5.833
PA,af,spipyr,16,2,5.544
PA,af,spipyr,16,3,3.627
PA,af,spipyr,16,4,5.51
PA,af,spipyr,16,5,5.367
PA,af,spipyr,17,1,4.434
PA,af,spipyr,17,2,5.108
PA,af,spipyr,17,3,6.211
PA,af,spipyr,17,4,6.12
PA,af,spipyr,17,5,4.929
PA,af,spipyr,18,1,5.711
PA,af,spipyr,18,2,6.426
PA,af,spipyr,18,3,6.052
PA,af,spipyr,18,4,5.283
PA,af,spipyr,18,5,6.277
PA,af,acegla,3,1,82.192
PA,af,acegla,3,2,61.081
PA,af,acegla,3,3,18.769
PA,af,acegla,3,4,46.816
PA,af,acegla,3,5,114.232
PA,af,alninc,9,1,35.916
PA,af,alninc,9,2,22.995
PA,af,alninc,9,3,14.699
PA,af,alninc,9,4,30.818
PA,af,alninc,9,5,27.983
PA,af,alninc,10,1,32.94
PA,af,alninc,10,2,27.421
PA,af,alninc,10,3,32.085
PA,af,alninc,10,4,39.571
PA,af,alninc,10,5,43.814
PA,af,alninc,11,1,32.032
PA,af,alninc,11,2,61.599
PA,af,alninc,11,3,28.215
PA,af,alninc,11,4,34.641
PA,af,alninc,11,5,30.471
PA,af,amealn,1,1,12.663
PA,af,amealn,1,2,17.779
PA,af,amealn,1,3,11.632
PA,af,amealn,1,4,8.043
PA,af,amealn,1,5,16.316
PA,af,amealn,3,1,16.944
PA,af,amealn,3,2,29.4
PA,af,amealn,3,3,11.811
PA,af,amealn,3,4,18.089
PA,af,amealn,3,5,22.316
PA,af,amealn,5,1,12.224
PA,af,amealn,5,2,22.597
PA,af,amealn,5,3,21.183
PA,af,amealn,5,4,10.903
PA,af,amealn,5,5,13.267
PA,af,betpap,7,1,26.139
PA,af,betpap,7,2,39.925
PA,af,betpap,7,3,36.636
PA,af,betpap,7,4,30.536
PA,af,betpap,7,5,26.064
PA,af,betpap,8,1,30.645
PA,af,betpap,8,2,28.201
PA,af,betpap,8,3,32.564
PA,af,betpap,8,4,23.337
PA,af,betpap,8,5,30.546
PA,af,betpap,9,1,27.099
PA,af,betpap,9,2,38.83
PA,af,betpap,9,3,40.727
PA,af,betpap,9,4,40.25
PA,af,betpap,9,5,42.269
PA,af,betpap,10,1,27.214
PA,af,betpap,10,2,25.202
PA,af,betpap,10,3,17.262
PA,af,betpap,10,4,19.949
PA,af,betpap,10,5,22.079
PA,af,betpap,11,1,35.344
PA,af,betpap,11,2,35.064
PA,af,betpap,11,3,32.007
PA,af,betpap,11,4,37.013
PA,af,betpap,11,5,34.73
PA,af,corsto,1,1,37.434
PA,af,corsto,1,2,36.439
PA,af,corsto,1,3,39.343
PA,af,corsto,1,4,20.41
PA,af,corsto,1,5,18.008
PA,af,corsto,4,1,34.522
PA,af,corsto,4,2,19.651
PA,af,corsto,4,3,36.309
PA,af,corsto,4,4,24.111
PA,af,corsto,4,5,18.533
PA,af,corsto,5,1,19.255
PA,af,corsto,5,2,18.612
PA,af,corsto,5,3,19.262
PA,af,corsto,5,4,26.871
PA,af,corsto,5,5,27.773
PA,af,loninv,2,1,20.318
PA,af,loninv,2,2,16.729
PA,af,loninv,2,3,19.321
PA,af,loninv,2,4,17.062
PA,af,loninv,2,5,15.043
PA,af,loninv,3,1,18.783
PA,af,loninv,3,2,19.403
PA,af,loninv,3,3,14.947
PA,af,loninv,3,4,12.931
PA,af,loninv,3,5,17.077
PA,af,popbal,1,1,76.001
PA,af,popbal,1,2,58.642
PA,af,popbal,1,3,58.385
PA,af,popbal,1,4,43.692
PA,af,popbal,1,5,47.046
PA,af,popbal,2,1,57.884
PA,af,popbal,2,2,36.421
PA,af,popbal,2,3,74.458
PA,af,popbal,2,4,52.057
PA,af,popbal,2,5,56.737
PA,af,popbal,3,1,15.932
PA,af,popbal,3,2,12.872
PA,af,popbal,3,3,19.462
PA,af,popbal,3,4,14.48
PA,af,popbal,3,5,19.737
PA,af,poptre,10,1,7.06
PA,af,poptre,10,2,6.637
PA,af,poptre,10,3,7.168
PA,af,poptre,10,4,7.616
PA,af,poptre,10,5,6.459
PA,af,rosaci,3,1,42.854
PA,af,rosaci,3,2,44.349
PA,af,rosaci,3,3,46.303
PA,af,rosaci,3,4,39.786
PA,af,rosaci,3,5,42.509
PA,af,rosaci,5,1,29.75
PA,af,rosaci,5,2,37.113
PA,af,rosaci,5,3,35.751
PA,af,rosaci,5,4,47.791
PA,af,rosaci,5,5,30.26
PA,af,rubpar,4,1,64.783
PA,af,rubpar,4,2,84.412
PA,af,rubpar,4,3,95.064
PA,af,rubpar,4,4,107.641
PA,af,rubpar,4,5,64.824
PA,af,rubspe,7,1,60.251
PA,af,rubspe,7,2,27.505
PA,af,rubspe,7,3,34.292
PA,af,rubspe,7,4,44.616
PA,af,rubspe,7,5,51.226
PA,af,shecan,1,1,7.039
PA,af,shecan,1,2,4.235
PA,af,shecan,1,3,3.578
PA,af,shecan,1,4,6.6
PA,af,shecan,1,5,5.137
PA,af,shecan,4,1,13.706
PA,af,shecan,4,2,9.318
PA,af,shecan,4,3,7.628
PA,af,shecan,4,4,7.764
PA,af,shecan,4,5,6.16
PA,af,shecan,5,1,8.73
PA,af,shecan,5,2,10.416
PA,af,shecan,5,3,10.727
PA,af,shecan,5,4,6.304
PA,af,shecan,5,5,8.544
PA,af,spibet,6,1,3.021
PA,af,spibet,6,2,5.378
PA,af,spibet,6,3,5.825
PA,af,spibet,6,4,6.606
PA,af,spibet,6,5,5.598
PA,af,spibet,2,1,8.992
PA,af,spibet,2,2,4.759
PA,af,spibet,2,3,7.442
PA,af,spibet,2,4,9.693
PA,af,spibet,2,5,6.718
PA,af,spibet,5,1,7.595
PA,af,spibet,5,2,14.404
PA,af,spibet,5,3,17.469
PA,af,spibet,5,4,9.289
PA,af,spibet,5,5,13.031
PA,af,spibet,6,1,8.584
PA,af,spibet,6,2,9.492
PA,af,spibet,6,3,7.09
PA,af,spibet,6,4,8.017
PA,af,spibet,6,5,6.01
PA,af,spibet,11,1,5.953
PA,af,spibet,11,2,7.718
PA,af,spibet,11,3,7.039
PA,af,spibet,11,4,6.972
PA,af,spibet,11,5,4.89
PA,af,symalb,4,1,7.333
PA,af,symalb,4,2,7.364
PA,af,symalb,4,3,4.704
PA,af,symalb,4,4,7.451
PA,af,symalb,4,5,3.874
PA,af,symalb,11,1,3.239
PA,af,symalb,11,2,3.849
PA,af,symalb,11,3,3.646
PA,af,symalb,11,4,4.381
PA,af,symalb,11,5,4.092
slh,kl,corsto,8,1,23.378
slh,kl,corsto,8,2,43.928
slh,kl,corsto,8,3,24.139
slh,kl,corsto,8,4,41.921
slh,kl,corsto,8,5,26.042
slh,kl,corsto,10,1,43.814
slh,kl,corsto,10,2,43.708
slh,kl,corsto,10,3,41.092
slh,kl,corsto,10,4,38.259
slh,kl,corsto,10,5,34.898
slh,kl,loninv,6,1,42.514
slh,kl,loninv,6,2,37.341
slh,kl,loninv,6,3,39.083
slh,kl,loninv,6,4,50.004
slh,kl,loninv,6,5,27.918
slh,kl,loninv,7,1,17.968
slh,kl,loninv,7,2,20.385
slh,kl,loninv,7,3,19.963
slh,kl,loninv,7,4,19.968
slh,kl,loninv,7,5,20.731
slh,kl,rhoalb,1,1,24.58
slh,kl,rhoalb,1,2,17.126
slh,kl,rhoalb,1,3,27.213
slh,kl,rhoalb,1,4,23.166
slh,kl,rhoalb,1,5,27.779
slh,kl,rhoalb,2,1,11.966
slh,kl,rhoalb,2,2,17.579
slh,kl,rhoalb,2,3,21.166
slh,kl,rhoalb,2,4,17.68
slh,kl,rhoalb,2,5,22.912
slh,kl,spibet,5,1,9.239
slh,kl,spibet,5,2,8.947
slh,kl,spibet,5,3,9.912
slh,kl,spibet,5,4,7.333
slh,kl,spibet,5,5,8.812
slh,kl,acegla,8,1,53.297
slh,kl,acegla,8,2,35.712
slh,kl,acegla,8,3,74.888
slh,kl,acegla,8,4,31.066
slh,kl,acegla,8,5,56.541
slh,kl,alninc,2,1,26.501
slh,kl,alninc,2,2,40.916
slh,kl,alninc,2,3,27.838
slh,kl,alninc,2,4,41.342
slh,kl,alninc,2,5,44.08
slh,kl,rubpar,9,1,228.181
slh,kl,rubpar,9,2,207.508
slh,kl,rubpar,9,3,162.872
slh,kl,rubpar,9,4,190.066
slh,kl,rubpar,9,5,146.112
slh,kl,spibet,6,1,21.679
slh,kl,spibet,6,2,18.783
slh,kl,spibet,6,3,15.254
slh,kl,spibet,6,4,18.285
slh,kl,spibet,6,5,17.447
slh,kl,spibet,7,1,17.59
slh,kl,spibet,7,2,14.644
slh,kl,spibet,7,3,15.134
slh,kl,spibet,7,4,14.478
slh,kl,spibet,7,5,16.674
slh,kl,vacmem,1,1,7.674
slh,kl,vacmem,1,2,7.805
slh,kl,vacmem,1,3,6.377
slh,kl,vacmem,1,4,7.947
slh,kl,vacmem,1,5,5.553
slh,kl,vacmem,2,1,5.961
slh,kl,vacmem,2,2,4.305
slh,kl,vacmem,2,3,7.863
slh,kl,vacmem,2,4,5.082
slh,kl,vacmem,2,5,10.171
slh,kl,vacmem,5,1,10.781
slh,kl,vacmem,5,2,8.208
slh,kl,vacmem,5,3,11.723
slh,kl,vacmem,5,4,8.74
slh,kl,vacmem,5,5,14.619
slh,kl,vacmem,6,1,3.688
slh,kl,vacmem,6,2,3.669
slh,kl,vacmem,6,3,4.032
slh,kl,vacmem,6,4,4.372
slh,kl,vacmem,6,5,4.818
slh,kl,vacmem,7,1,8.554
slh,kl,vacmem,7,2,10.938
slh,kl,vacmem,7,3,15.823
slh,kl,vacmem,7,4,9.583
slh,kl,vacmem,7,5,12.718
slh,kl,vacmem,8,1,7.718
slh,kl,vacmem,8,2,9.812
slh,kl,vacmem,8,3,9.885
slh,kl,vacmem,8,4,10.821
slh,kl,vacmem,8,5,7.875
slh,kl,vibedu,4,1,42.483
slh,kl,vibedu,4,2,45.464
slh,kl,vibedu,4,3,44.617
slh,kl,vibedu,4,4,63.005
slh,kl,vibedu,4,5,32.111
slh,kl,vibedu,5,1,40.486
slh,kl,vibedu,5,2,33.751
slh,kl,vibedu,5,3,40.4
slh,kl,vibedu,5,4,37.208
slh,kl,vibedu,5,5,53.369
slh,kl,vibedu,7,1,28.21
slh,kl,vibedu,7,2,26.223
slh,kl,vibedu,7,3,37.688
slh,kl,vibedu,7,4,21.745
slh,kl,vibedu,7,5,26.084
slh,kl,vibedu,9,1,79.104
slh,kl,vibedu,9,2,36.007
slh,kl,vibedu,9,2,48.265
slh,kl,vibedu,9,3,58.625
slh,kl,vibedu,9,4,79.146
slh,kl,vibedu,10,1,33.872
slh,kl,vibedu,10,2,25.208
slh,kl,vibedu,10,3,41.424
slh,kl,vibedu,10,4,38.326
slh,kl,vibedu,10,5,48.899
slh,kl,alninc,4,1,31.652
slh,kl,alninc,4,2,27.151
slh,kl,alninc,4,3,36.775
slh,kl,alninc,4,4,25.949
slh,kl,alninc,4,5,35.913
slh,kl,vacmem,3,1,9.88
slh,kl,vacmem,3,2,9.64
slh,kl,vacmem,3,3,11.202
slh,kl,vacmem,3,4,8.527
slh,kl,vacmem,3,5,8.04
slh,kl,vacmem,9,1,6.363
slh,kl,vacmem,9,2,9.523
slh,kl,vacmem,9,3,6.533
slh,kl,vacmem,9,4,8.509
slh,kl,vacmem,9,5,9.316
slh,kl,acegla,3,1,36.227
slh,kl,acegla,3,2,22.708
slh,kl,acegla,3,3,32.044
slh,kl,acegla,3,4,44.27
slh,kl,acegla,3,5,36.198
slh,kl,alnvir,8,1,30.141
slh,kl,alnvir,8,2,26.811
slh,kl,alnvir,8,3,22.601
slh,kl,alnvir,8,4,25.241
slh,kl,alnvir,8,5,59.969
slh,kl,amealn,5,1,14.731
slh,kl,amealn,5,2,14.825
slh,kl,amealn,5,3,18.325
slh,kl,amealn,5,4,10.44
slh,kl,amealn,5,5,10.383
slh,kl,amealn,6,1,23.019
slh,kl,amealn,6,2,11.901
slh,kl,amealn,6,3,17.221
slh,kl,amealn,6,4,15.511
slh,kl,amealn,6,5,18.766
slh,kl,amealn,8,1,15.155
slh,kl,amealn,8,2,10.878
slh,kl,amealn,8,3,15.407
slh,kl,amealn,8,4,13.365
slh,kl,amealn,8,5,11.317
slh,kl,corsto,3,1,42.165
slh,kl,corsto,3,2,42.707
slh,kl,corsto,3,3,46.805
slh,kl,corsto,3,4,46.478
slh,kl,corsto,3,5,64.581
slh,kl,loninv,3,1,21.784
slh,kl,loninv,3,2,25.794
slh,kl,loninv,3,3,47.505
slh,kl,loninv,3,4,62.012
slh,kl,loninv,3,5,58.081
slh,kl,loninv,4,1,30.62
slh,kl,loninv,4,2,24.334
slh,kl,loninv,4,3,23.515
slh,kl,loninv,4,4,46.053
slh,kl,loninv,4,5,31.145
slh,kl,loninv,9,1,48.428
slh,kl,loninv,9,2,49.96
slh,kl,loninv,9,3,63.516
slh,kl,loninv,9,4,68.18
slh,kl,loninv,9,5,68.012
slh,kl,loninv,10,1,37.428
slh,kl,loninv,10,2,42.234
slh,kl,loninv,10,3,37.372
slh,kl,loninv,10,4,26.448
slh,kl,loninv,10,5,48.177
slh,kl,poptre,2,1,16.681
slh,kl,poptre,2,2,18.337
slh,kl,poptre,2,3,20.553
slh,kl,poptre,2,4,15.57
slh,kl,poptre,2,5,11.959
slh,kl,riblac,7,1,9.27
slh,kl,riblac,7,2,10.694
slh,kl,riblac,7,3,14.85
slh,kl,riblac,7,4,16.575
slh,kl,riblac,7,5,16.548
slh,kl,rosgym,4,1,36.924
slh,kl,rosgym,4,2,59.807
slh,kl,rosgym,4,3,27.3
slh,kl,rosgym,4,4,44.552
slh,kl,rosgym,4,5,34.549
slh,kl,rosgym,9,1,41.16
slh,kl,rosgym,9,2,42.324
slh,kl,rosgym,9,3,39.855
slh,kl,rosgym,9,4,30.565
slh,kl,rosgym,9,5,29.648
slh,kl,rubpar,3,1,225.604
slh,kl,rubpar,3,2,185.694
slh,kl,rubpar,3,3,198.376
slh,kl,rubpar,3,4,239.518
slh,kl,rubpar,3,5,174.618
slh,kl,rubpar,4,1,163.809
slh,kl,rubpar,4,2,249.661
slh,kl,rubpar,4,3,231.882
slh,kl,rubpar,4,4,219.066
slh,kl,rubpar,4,5,190.138
slh,kl,rubpar,10,1,271.405
slh,kl,rubpar,10,2,191.194
slh,kl,rubpar,10,3,327.524
slh,kl,rubpar,10,4,197.12
slh,kl,rubpar,10,5,206.025
slh,kl,rubpar,11,1,324.881
slh,kl,rubpar,11,2,169.407
slh,kl,rubpar,11,3,261.132
slh,kl,rubpar,11,4,180.134
slh,kl,rubpar,11,5,312.888
slh,kl,shecan,4,1,14.848
slh,kl,shecan,4,2,14.475
slh,kl,shecan,4,3,22.339
slh,kl,shecan,4,4,14.762
slh,kl,shecan,4,5,22.116
slh,kl,shecan,5,1,13.909
slh,kl,shecan,5,2,15.605
slh,kl,shecan,5,3,5.333
slh,kl,shecan,5,4,12.698
slh,kl,shecan,5,5,10.931
slh,kl,shecan,9,1,16.807
slh,kl,shecan,9,2,17.908
slh,kl,shecan,9,3,19.01
slh,kl,shecan,9,4,13.407
slh,kl,shecan,9,5,12.815
slh,kl,spibet,8,1,12.19
slh,kl,spibet,8,2,4.089
slh,kl,spibet,8,3,12.073
slh,kl,spibet,8,4,4.4
slh,kl,spibet,8,5,13.285
slh,kl,spibet,9,1,14.662
slh,kl,spibet,9,2,12.988
slh,kl,spibet,9,3,15.007
slh,kl,spibet,9,4,13.722
slh,kl,spibet,9,5,14.075
slh,kl,spibet,10,1,20.992
slh,kl,spibet,10,2,15.6
slh,kl,spibet,10,3,22.83
slh,kl,spibet,10,4,10.695
slh,kl,spibet,10,5,20.357
slh,kl,symalb,2,1,9.067
slh,kl,symalb,2,2,5.57
slh,kl,symalb,2,3,8.413
slh,kl,symalb,2,4,5.486
slh,kl,symalb,2,5,8.056
slh,kl,symalb,3,1,7.925
slh,kl,symalb,3,2,3.737
slh,kl,symalb,3,3,5.145
slh,kl,symalb,3,4,3.226
slh,kl,symalb,3,5,4.051
slh,kl,symalb,10,1,11.847
slh,kl,symalb,10,2,10.471
slh,kl,symalb,10,3,8.059
slh,kl,symalb,10,4,5.513
slh,kl,symalb,10,5,5.903
slh,kl,symalb,11,1,13.149
slh,kl,symalb,11,2,12.945
slh,kl,symalb,11,3,11.493
slh,kl,symalb,11,4,12.198
slh,kl,symalb,11,5,9.209
slh,kl,alnvir,3,1,26.261
slh,kl,alnvir,3,2,36.267
slh,kl,alnvir,3,3,32.353
slh,kl,alnvir,3,4,35.046
slh,kl,alnvir,3,5,26.459
slh,kl,rosgym,8,1,50.564
slh,kl,rosgym,8,2,33.916
slh,kl,rosgym,8,3,53.813
slh,kl,rosgym,8,4,39.293
slh,kl,rosgym,8,1,50.638
slh,kl,vibedu,2,1,40.533
slh,kl,vibedu,2,2,29.841
slh,kl,vibedu,2,3,36.801
slh,kl,vibedu,2,4,45.505
slh,kl,vibedu,2,5,16.581
slh,kl,acegla,9,1,28.703
slh,kl,acegla,9,2,40.598
slh,kl,acegla,9,3,33.753
slh,kl,acegla,9,4,34.384
slh,kl,acegla,9,5,30.625
slh,kl,acegla,10,1,36.793
slh,kl,acegla,10,2,42.312
slh,kl,acegla,10,3,50.154
slh,kl,acegla,10,4,59.659
slh,kl,acegla,10,5,63.965
slh,kl,alnrub,2,1,32.835
slh,kl,alnrub,2,2,25.03
slh,kl,alnrub,2,3,26.869
slh,kl,alnrub,2,4,33.094
slh,kl,alnrub,2,5,20.774
slh,kl,alnrub,4,1,25.755
slh,kl,alnrub,4,2,31.644
slh,kl,alnrub,4,3,22.074
slh,kl,alnrub,4,4,41.041
slh,kl,alnrub,4,5,37.817
slh,kl,alnrub,6,1,18.093
slh,kl,alnrub,6,2,31.999
slh,kl,alnrub,6,3,28.788
slh,kl,alnrub,6,4,38.194
slh,kl,alnrub,6,5,28.89
slh,kl,alnrub,8,1,20.694
slh,kl,alnrub,8,2,15.163
slh,kl,alnrub,8,3,12.212
slh,kl,alnrub,8,4,18.578
slh,kl,alnrub,8,5,15.045
slh,kl,alnrub,10,1,21.391
slh,kl,alnrub,10,2,18.439
slh,kl,alnrub,10,3,23.755
slh,kl,alnrub,10,4,27.746
slh,kl,alnrub,10,5,34.529
slh,kl,alnvir,10,1,88.831
slh,kl,alnvir,10,2,26.51
slh,kl,alnvir,10,3,59.466
slh,kl,alnvir,10,4,32.595
slh,kl,alnvir,10,5,54.308
slh,kl,alnvir,11,1,27.257
slh,kl,alnvir,11,2,43.094
slh,kl,alnvir,11,3,34.277
slh,kl,alnvir,11,4,46.135
slh,kl,alnvir,11,5,30.648
slh,kl,alnvir,12,1,32.293
slh,kl,alnvir,12,2,25.35
slh,kl,alnvir,12,3,15.889
slh,kl,alnvir,12,4,26.624
slh,kl,alnvir,12,5,33.789
slh,kl,amealn,9,1,13.608
slh,kl,amealn,9,2,12.887
slh,kl,amealn,9,3,10.365
slh,kl,amealn,9,4,16.552
slh,kl,amealn,9,5,16.23
slh,kl,amealn,10,1,15.738
slh,kl,amealn,10,2,11.734
slh,kl,amealn,10,3,15.695
slh,kl,amealn,10,4,18.583
slh,kl,amealn,10,5,9.94
